ML_Model,Text_Representation,ngram_range,ML_Hyperparameters,Text_Normalization,Balance_Methods,Average_f-score_Macro
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.611425558718338
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.6077991931869118
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.5861453127951506
mlp,tfidf,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords + Lematizacion,None,0.5258187297045253
naive_bayes,tfidf,"(2, 2)",{},Tokenizacion + Stopwords + Lematizacion,None,0.5237737487061338
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,0.5227794165847264
mlp,binaria,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords + Lematizacion,None,0.5180606060606061
mlp,frecuencia,"(2, 2)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords + Lematizacion,None,0.5152541068749279
naive_bayes,binaria,"(2, 2)",{},Tokenizacion + Stopwords + Lematizacion,None,0.509587235923569
naive_bayes,frecuencia,"(2, 2)",{},Tokenizacion + Stopwords + Lematizacion,None,0.5083357822754945
gradient_boosting,binaria,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.5045367080323385
logistic_regression,tfidf,"(2, 2)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,0.5040485829959515
gradient_boosting,frecuencia,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.49883567884985325
gradient_boosting,tfidf,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.49843478260869567
logistic_regression,binaria,"(2, 2)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,0.48210657563159337
svc,binaria,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,0.4781825696740671
logistic_regression,frecuencia,"(2, 2)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,0.47684877436896994
random_forest,tfidf,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.47684877436896994
svc,frecuencia,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,0.4766240049258917
random_forest,frecuencia,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.47385204081632654
random_forest,binaria,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.4661016949152542
mlp,tfidf,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords + Lematizacion,None,0.45805180180180183
svc,tfidf,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,0.44600452355987286
logistic_regression,tfidf,"(3, 3)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,0.4409847702632938
svc,frecuencia,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,0.43081101299377145
svc,binaria,"(3, 3)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,None,0.43081101299377145
logistic_regression,frecuencia,"(3, 3)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,0.4261918814348482
logistic_regression,binaria,"(3, 3)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,None,0.4256556791509338
gradient_boosting,frecuencia,"(3, 3)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.4209662086250108
gradient_boosting,binaria,"(3, 3)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.4209662086250108
gradient_boosting,tfidf,"(3, 3)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.4209662086250108
mlp,binaria,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords + Lematizacion,None,0.325986630017985
mlp,frecuencia,"(3, 3)","{'hidden_layer_sizes': (100,), 'max_iter': 100}",Tokenizacion + Stopwords + Lematizacion,None,0.32411068032451174
naive_bayes,tfidf,"(3, 3)",{},Tokenizacion + Stopwords + Lematizacion,None,0.31547619047619047
naive_bayes,frecuencia,"(3, 3)",{},Tokenizacion + Stopwords + Lematizacion,None,0.3146544751785729
naive_bayes,binaria,"(3, 3)",{},Tokenizacion + Stopwords + Lematizacion,None,0.3146544751785729
random_forest,binaria,"(3, 3)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.2586672606062988
random_forest,tfidf,"(3, 3)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.2586672606062988
random_forest,frecuencia,"(3, 3)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,None,0.25771738276647554
