Tipo_Normalizacion,Mejor_Modelo,Vectorizacion,N-grams,F1_Macro,CV_Media,CV_Desviacion
Tokenizacion,svc,frecuencia,"(1, 1)",0.7206439393939394,0.702450488182581,0.017638779348036936
Stopwords,svc,frecuencia,"(1, 1)",0.715195856698043,0.7070290172656488,0.006789262910000699
Tokenizacion_Stopwords,svc,frecuencia,"(1, 1)",0.715195856698043,0.7070290172656488,0.006789262910000699
Lematizacion,svc,binaria,"(1, 1)",0.7030925257450034,0.6756092806920209,0.015101819107780566
Tokenizacion_Lematizacion,svc,binaria,"(1, 1)",0.7030925257450034,0.6756092806920209,0.015101819107780566
Completo,svc,binaria,"(1, 1)",0.6888275563492707,0.6944120713268961,0.010981518058884074
Stopwords_Lematizacion,svc,binaria,"(1, 1)",0.6888275563492707,0.6944120713268961,0.010981518058884074
