ML_Model,Text_Representation,ngram_range,ML_Hyperparameters,Text_Normalization,Balance_Methods,Average_f-score_Macro
naive_bayes,binaria,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6647178744124138
logistic_regression,tfidf,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.658436959233772
logistic_regression,binaria,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6518132494624149
svc,binaria,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.648010996813653
naive_bayes,frecuencia,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.643282950655744
logistic_regression,frecuencia,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.64325720802091
naive_bayes,tfidf,"(1, 1)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6385218642632386
svc,tfidf,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.634989608917438
svc,frecuencia,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6334760220857373
random_forest,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6252951981107321
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6177900403839509
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6161462300076161
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6161462300076161
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6152667237424824
logistic_regression,svd,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6092721843545503
svc,svd,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.6005434782608696
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.589502262443439
naive_bayes,tfidf,"(2, 2)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.5237737487061338
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,0.5227794165847264
